0.0000000E+00  1.5776000E+00  8.3199997E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4178485E-02  6.5569697E+00  2.7735133E-07  0.0000000E+00  0.0000000E+00  3.0645814E+02
2.5641026E-04  1.5776000E+00  8.3199975E+00  2.5279501E-10 -6.2172489E-15  2.1490884E-06  1.4176336E-02  7.4532533E+00  2.1843049E-06  1.2850832E-18  1.5713927E-14  2.9891079E+02
5.1282051E-04  1.5776000E+00  8.3199962E+00  6.4386796E-10 -6.2172489E-15  3.5346616E-06  1.4174950E-02  7.6649378E+00  3.5562918E-06  5.3235194E-18  4.2078752E-14  2.9907709E+02
7.6923077E-04  1.5776000E+00  8.3199947E+00  1.2512634E-09 -2.1538327E-14  4.9771699E-06  1.4173508E-02  7.8122656E+00  4.9925774E-06  1.4524493E-17  8.3181217E-14  2.9956328E+02
1.0256410E-03  1.5776000E+00  8.3199932E+00  2.1179071E-09 -3.7636561E-14  6.5031152E-06  1.4171982E-02  7.9278504E+00  6.5149224E-06  3.2079894E-17  1.4182380E-13  3.0004903E+02
1.2820513E-03  1.5776000E+00  8.3199916E+00  3.2735412E-09 -5.5955240E-14  8.1015167E-06  1.4170384E-02  8.0230161E+00  8.1110003E-06  6.1731176E-17  2.1996805E-13  3.0036356E+02
1.5384615E-03  1.5776000E+00  8.3199899E+00  4.7300777E-09 -5.3179683E-14  9.7487486E-06  1.4168736E-02  8.1032420E+00  9.7566325E-06  1.0729473E-16  3.1839639E-13  3.0056018E+02
1.7948718E-03  1.5776000E+00  8.3199883E+00  6.4941508E-09 -6.1395333E-14  1.1429437E-05  1.4167056E-02  8.1722229E+00  1.1436163E-05  1.7266744E-16  4.3754727E-13  3.0069877E+02
2.0512821E-03  1.5776000E+00  8.3199865E+00  8.5735962E-09 -6.0174088E-14  1.3136596E-05  1.4165349E-02  8.2326193E+00  1.3142448E-05  2.6196822E-16  5.7793549E-13  3.0081762E+02
2.3076923E-03  1.5776000E+00  8.3199848E+00  1.0977855E-08 -6.0951244E-14  1.4867319E-05  1.4163618E-02  8.2863272E+00  1.4872491E-05  3.7958525E-16  7.4017956E-13  3.0092383E+02
2.5641026E-03  1.5776000E+00  8.3199831E+00  1.3718138E-08 -6.8611783E-14  1.6620821E-05  1.4161864E-02  8.3347173E+00  1.6625447E-05  5.3024529E-16  9.2501121E-13  3.0103282E+02
2.8205128E-03  1.5776000E+00  8.3199813E+00  1.6811350E-08 -6.5059069E-14  1.8399568E-05  1.4160086E-02  8.3788507E+00  1.8403747E-05  7.1931350E-16  1.1335366E-12  3.0116178E+02
3.0769231E-03  1.5776000E+00  8.3199795E+00  2.0284961E-08 -6.3393735E-14  2.0210150E-05  1.4158275E-02  8.4195962E+00  2.0213954E-05  9.5331243E-16  1.3675493E-12  3.0133257E+02
3.3333333E-03  1.5776000E+00  8.3199776E+00  2.4185863E-08 -6.5281114E-14  2.2065493E-05  1.4156420E-02  8.4577277E+00  2.2068977E-05  1.2409490E-15  1.6301161E-12  3.0158008E+02
3.5897436E-03  1.5776000E+00  8.3199757E+00  2.8606851E-08 -1.0880186E-13  2.3992894E-05  1.4154492E-02  8.4940866E+00  2.3996098E-05  1.5959567E-15  1.9272874E-12  3.0199189E+02
3.8461538E-03  1.5776000E+00  8.3199736E+00  3.3789846E-08 -1.1068924E-13  2.6066687E-05  1.4152418E-02  8.5300816E+00  2.6069636E-05  2.0480118E-15  2.2748072E-12  3.0285361E+02
4.1025641E-03  1.5776000E+00  8.3199709E+00  4.1294840E-08 -1.2101431E-13  2.8782733E-05  1.4149702E-02  8.5731197E+00  2.8785403E-05  2.7636310E-15  2.7735045E-12  3.0663621E+02
4.3589744E-03  1.5775999E+00  8.3199632E+00  6.7213760E-08 -1.2900792E-13  3.6412955E-05  1.4142072E-02  8.6752305E+00  3.6415063E-05  5.6905369E-15  4.4387799E-12  3.1828961E+02
